Zipcode	num
60601	43
60602	15
60603	5
60604	15
60605	43
60606	15
60607	188
60608	322
60609	455
60610	58
60611	23
60612	175
60613	117
60614	61
60615	159
60616	96
60617	430
60618	322
60619	305
60620	262
60621	187
60622	130
60623	568
60624	252
60625	246
60626	311
60628	290
60629	749
60630	143
60631	57
60632	549
60633	48
60634	222
60636	209
60637	273
60638	210
60639	516
60640	211
60641	336
60642	38
60643	150
60644	249
60645	190
60646	43
60647	337
60649	303
60651	376
60652	142
60653	118
60654	24
60655	40
60656	75
60657	77
60659	117
60660	108
60661	15
60664	5
60665	5
60666	5
60668	10
60670	5
60671	5
60672	5
60673	5
60680	5
60684	5
60687	5
60690	10
60694	5
60699	5
60706	44
60707	98
60803	88
60804	636
60805	48
60827	242
